question,company,answer,ground_truth,context_relevancy,faithfulness,answer_relevancy,avg_retrieval_score,overall_score
What are Apple's main sources of revenue?,apple,"Based on the provided context from Apple's 2024 and 2025 Form 10-K reports, Apple's main sources of revenue are not explicitly stated. However, we can infer that the company's revenue is primarily gen...","Apple generates revenue from iPhone sales, Mac computers, iPad, wearables, and services including App Store, Apple Music, and iCloud.",0.6667,0.6981,0.7381,0.5706,0.6684
What risks does Apple mention about its supply chain?,apple,"Based on the provided SEC filing excerpts from Apple's 2025-10-K and 2023-11-K reports, Apple mentions the following risks associated with its supply chain:

1. **Supply shortages**: Apple is subject ...",Apple relies on single source suppliers for some components and faces risks from supplier concentration and geopolitical issues.,0.5,0.7652,0.8324,0.6558,0.6884
How does Apple describe its services segment?,apple,"According to the provided excerpts from Apple's 2024 and 2025 Form 10-K, the Company describes its services segment as follows:

- The services segment includes Apple Card, a co-branded credit card, a...","Apple services segment includes App Store, Apple Music, iCloud, Apple Pay, Apple TV+ and generates recurring subscription revenue.",0.75,0.8039,0.688,0.5604,0.7006
What risks does Tesla mention related to electric vehicles?,tesla,"Based on the provided SEC filing excerpts from Tesla's 2024-01-29 and 2026-01-29 reports, the company mentions the following risks related to electric vehicles:

1. **Perceptions about electric vehicl...","Tesla mentions risks including range anxiety, charging infrastructure, competition from automakers, and battery technology limitations.",0.8333,0.6628,0.7495,0.6114,0.7143
How does Tesla describe its manufacturing operations?,tesla,"Based on the provided context from Tesla's 2024-01-29 SEC filing, Tesla describes its manufacturing operations as follows:

""We are focused on growing our manufacturing capacity, which includes capaci...",Tesla manufactures vehicles at Gigafactories and faces risks related to production ramp up and supply chain disruptions.,0.75,0.8533,0.6703,0.5153,0.6972
How does Microsoft describe its cloud computing business?,microsoft,"According to the provided excerpts from Microsoft's 2025-07-30 10-K filing, Microsoft describes its cloud computing business as follows:

""The Microsoft Cloud provides integration across the technolog...","Microsoft describes Azure as its cloud platform offering computing, storage, and AI services with economies of scale advantages.",0.8,0.8172,0.7486,0.6343,0.75
What are Microsoft's main business segments?,microsoft,"Based on the provided SEC filing excerpts from Microsoft's 2025-07-30 Form 10-K, the company's main business segments are:

1. Productivity and Business Processes
2. Intelligent Cloud
3. More Personal...","Microsoft operates through Productivity and Business Processes, Intelligent Cloud, and More Personal Computing segments.",0.6667,0.7368,0.7907,0.5576,0.6879
What risks does Amazon mention about its AWS business?,amazon,"Based on the provided context from Amazon's 2026-02-06 SEC filing, there is no explicit mention of risks associated with the AWS business. However, the company does mention that actual results and out...","Amazon mentions risks to AWS including competition from Microsoft Azure and Google Cloud, security breaches, and service outages.",0.4,0.4531,0.8192,0.6817,0.5885
How does Amazon describe its retail business model?,amazon,"Based on the provided excerpts from Amazon's 2026, 2025, and 2024 SEC filings, Amazon describes its retail business model as follows:

Amazon seeks to be Earth's most customer-centric company, guided ...",Amazon operates as both a direct retailer and marketplace platform where third party sellers can list products.,0.4,0.7686,0.6959,0.6434,0.627
What does Google say about its advertising revenue?,google,"Based on the provided SEC filing excerpts from Google's 10-K annual reports for 2024, 2025, and 2026, Google states that its advertising revenue is generated primarily through its Google Services segm...","Google generates most revenue from advertising through Google Search, YouTube ads, and Google Network advertising products.",0.75,0.7412,0.7042,0.6252,0.7052
